pool_id,total_stakes,total_rewards
1471,9464317521576747,6553166671935
1472,32923250298498300,20353551743664
1484,13092878265018592,8698690660094
1486,11144694389925051,6339870633712
1487,18516589588928223,15172515304648
1488,645587931755356,495143716864
1492,21478083125212672,15567756476428
1494,3120061375089108,2299864040982
1495,10541225119529475,5961056305932
1496,110584467796226,54680869200
1497,306649712200814,292972191693
1498,619114848314564,131335737300
1501,112946689488594320,59660977912192
1504,46209163160820,51687636551
1510,21903010016744780,13120373656962
1512,445798949428956,331998948074
1513,265597336372971998,206638574800952
1517,109830531671997651,64097840541960
1518,2448743470601580,1554843446942
1519,26163108667705590,19505405955204
1520,6026948900476188,4207753734240
1521,4042096180986754,2666705832416
1522,15445281039101640,11829394173879
1523,38633153607176898,25061353464056
1524,5475470541766589,3045571104532
1525,22267366352491420,13206120835000
1526,1159346262373125,586519115231
1527,15680781246903591,8650102789800
1528,1124506188125964,983607774525
1529,15438476713506374,9202987306746
1530,95734876976205720,68603464871172
1536,42531113241630,43673977992
1540,2967901166051520,2110878024150
1541,539838961556204916,274131998995344
1543,14723193065576510,11418924505310
1544,30726635355975,13848572066
1546,773543145806454,990444463796
1547,3876788047428,13829588900
1548,2768323834778183,1732259041968
1550,3475038563082636,2002097308750
1552,3122579669908055,1980256485600
1553,3046519472991486,2559044523910
1561,11766196991048976,8067822571496
1562,5965088043188064,3104194975440
1570,8953200620199150,8874748918400
1571,102241289799778924,74657530192700
1587,182964635002051,146191574550
1588,10792362945386154,8388253016754
1592,133300059779640,77890762029
1594,256468101598283,238023142604
1597,110375378758870,189463601535
1598,1353956328205572,832966432584
1599,2850870321965386,1761485017336
1600,10739088002939002,5373212045775
1601,22513770500130977,16961813061237
1602,1002190710602433,753516356514
1603,14728481878174660,10331686726752
1604,625044551652742000,470229245857923
1605,1978019270344768,1452304449225
1607,3109051292201508,1873910489308
1609,1074993984917520,180003497947
1613,3585452983062698,1290748397834
1614,336035557623011,222835550877
1617,832033494407170,608637647948
1618,37802672989514,49505919028
1619,637349240424127,445476612876
1620,193032122488428,183431546648
1621,26652868905278,85228371852
1623,54505126787999001,36994801472475
1624,17487455711172590,8547597051690
1627,6573262195745476,3124444032832
1628,4403784920484873,2948275473192
1629,5355567640651860,3703907553120
1630,560962792018100961,297465067005111
1631,807518327647648500,545687334269916
1632,636916772254850217,370219961975479
1633,20585633665132152,9117538926580
1637,66262188393685122,33595118012679
1639,65484093421115,38577100163
1641,62200619657784,81521419212
1642,375394626106650,283997842206
